title	Toward a republic of letters
blurb	From Sumerian ledgers to the Encyclopédie — Egypt held the reed, Pergamum stretched the hide, China cheapened the sheet, and Europe spent centuries copying by hand before print, learned societies, and the alphabetized shelf made the republic of letters something you could actually own.
	
id	edge_note
writing	
papyrus	Marks on clay travel the Fertile Crescent; on the Nile they bind to one plant — Egypt sells the writing surface the way it sells grain.
literature	The ledger came first; only once the sheet exists does Gilgamesh survive the death of the bard.
alphabet	Cuneiform and hieroglyph swell with every new thing named; a phonetic handful of signs lets a scribe write any word he can say.
library	Hand-copying makes books a luxury; Ashurbanipal’s tens of thousands are hoarded power, not a reading public.
parchment	Tradition says Alexandria choked papyrus to starve Pergamum’s library and Eumenes answered with dressed hides — whether or not the ban is real, the sheet is precious enough to scrape clean and write again.
paper	China pulps fiber cheaper than scraping skin. The craft drifts west for centuries — Samarkand after Talas (~751), Baghdad’s mills (~793), then al-Andalus and Italy — cheap long before most people can read.
block-printing	When paper is cheap enough to waste, carve once and rub a thousand copies; the East prints while Europe still counts scribes by hand.
printing-press	China already printed from blocks; Gutenberg’s trick is movable metal type, oil ink, and a press that pays — the Bible is the invoice, not the invention.
scientific-societies	Cheap pamphlets turn private letters into public argument; learned societies put the dispute in the post, not the cloister.
encyclopedia	Diderot’s alphabetical volumes aim at any literate reader — the republic of letters becomes a reference work, not a correspondence circle.
