title	Rise and fall of heavy cavalry
blurb	From a tame horse pulling a chariot to the salaried musketeer that retired the knight — 4000 years of military dominance, none of it planned.
	
id	edge_note
animal-dom	
cart	Domestication turned occasional drags into daily logistics; sledges exhausted people and animals until rolling bearings amortized the load.
horse	The cart already posed the question “what pulls this?” Horses were drafted into that existing vehicle economy—chariot warfare is cart-tech meeting a faster animal, not the invention of mounted combat.
bridle	Charioteers could brace reins on the yoke; a solo rider has no third hand, so steering has to migrate to the mouth or control falls apart at speed.
saddle	Mouth control answers direction; it does not absorb fighting shocks or spare the spine—without a weight spreader the mount fails before the rider does.
wooden-stirrup	A seat alone leaves the torso swimming sideways; hanging footholds buy the first real lateral purchase for archery—at the price of splintering under a melee hit.
metal-stirrup	The geometry was already right; wood was the weak link. Metallurgy is what lets the same loop survive the impact that proved leather and timber could not.
turnplow	This is not a detour: knight-weight mounts come from draft breeding, and draft breeding followed plow teams that could work northern clay—agrarian horsepower funds cavalry horsepower.
high-backed-saddle	Stirrups fix side-to-side; a couched lance still punches you out the back—so the next failure mode is longitudinal recoil, not leverage.
iron-horseshoes	Biomechanics solved, the bottleneck shifts to infrastructure: stone roads and campaigns grind hooves faster than unshod animals can sustain repeated charges.
couched-lance	Shod, braced, cantled riders can finally spend the horse’s momentum budget on one pointed impulse instead of husbanding the animal’s feet.
horse-collar	Shock cavalry is a calorie business; the collar is the farm-side multiplier that turns northern clay into surplus grain—and surplus grain into estates that can feed destriers.
longbow	The same centuries that perfected heavy cavalry also produced a weapon that ignores the contact zone entirely: plate and horse do not argue with yardage.
pike	If the knight’s advantage is reach at the gallop, answer with a longer static reach and cheap training—mass closes the distance economics against horse estates.
arquebus	Close-order infantry was already normalized; chemical energy removes the decade-per-man skill curve and collapses the nobility monopoly on decisive shock.
standing-army	Pike-and-shot is a payroll and drill problem, not a seasonal vassal obligation—the social contract that fed knights yields to the contract that feeds volleys.
