title	Steam diffusion over seventeen centuries
blurb	From Hero’s spinning toy to Watt’s machines — almost two millennia where the physics of gas and vacuum had to become thinkable, demonstrable, and paid for before “railroad time.”
	
id	edge_note
basic-steam-engine	
coal-mining	Hero proved sealed vapor can spin; coal is the long fuse—dense fuel stockpiled centuries before anyone earns a living optimizing a cylinder against it.
hydrostatics	Pits go where wood no longer reaches; lift limits turn into daily accounts—pressure as stacked geometry in liquids is the vocabulary later borrowed for air.
gas	Once water columns behave predictably, the sloppier lumping of every vapor as generic “air” becomes the next debt—distinct gases make experiments composable.
barometer	Classification meets a paying puzzle: lift pumps stalled at ~33 ft, so atmospheric weight stops being philosophy and becomes a number on a ruler.
air-pump	Torricelli measured the void; Guericke’s seals make it something you can manufacture, break, and repair—repeatable craft instead of one-off glassware luck.
air-pressure	Bench curiosity scales to theater: when teams of horses can’t pull hemispheres apart, sponsors—not just natural philosophers—see that vacuum does macroscopic work.
boyles-law	Public proofs of air’s strength invite the boring next step: squeeze the spring in a controlled way until volume and pressure trade off as a design rule.
pressure-cooker	Boyle hands designers a compressible rule; Papin bolts it onto Hero’s sealed-kettle intuition—the first sealed steam that earns dinner, not tenure.
miners-friend	Credible small boilers meet the customer who cannot refuse a bad pump—flooded English collieries pay for Savery’s violent shortcut because the fuel base is already coal.
gas-volume-temperature	A year later, still burning coal to argue with gravity, Amontons adds temperature to the gas-law family—another scalar for anyone who will soon count duty per bushel.
newcomen-steam-engine	Amontons finishes the ‘gas plus heat’ picture on the bench; the paying problem is still the flooded seam—Newcomen trades Savery’s high-pressure terror for a slower beat collieries will actually run underground.
latent-heat	Terrible duty per bushel makes “missing” heat in phase changes economically visible—Black gives accountants a place for heat that does not register on a thermometer yet.
steam-engine	Watt’s repair assignment applies that bookkeeping to geometry: always-hot versus always-cold space is how latent heat stops being wasted motion in the cylinder.
improved-steam-engine	Rotary output and steadier pressure fold the toy line into mills—the same fire that once entertained courts now signs factory ledgers.
